976,,,AVERAGE,STDEV
594,,,445.8515625,684.2798028
708,,,,
807,,,,
841,,,,
869,,,,
873,,,,
968,,,,
918,,,,
970,,,,
953,,,,
950,,,,
975,,,,
1032,,,,
1124,,,,
1087,,,,
1139,,,,
1113,,,,
1230,,,,
1286,,,,
1358,,,,
1388,,,,
1533,,,,
1487,,,,
1618,,,,
1674,,,,
1781,,,,
1792,,,,
1916,,,,
1970,,,,
1992,,,,
2059,,,,
2099,,,,
2128,,,,
2291,,,,
2280,,,,
2313,,,,
2336,,,,
2271,,,,
2321,,,,
2310,,,,
2184,,,,
2191,,,,
2194,,,,
2162,,,,
1970,,,,
2108,,,,
1880,,,,
1911,,,,
1834,,,,
1788,,,,
1666,,,,
1624,,,,
1530,,,,
1472,,,,
1379,,,,
1306,,,,
1303,,,,
1174,,,,
1117,,,,
1036,,,,
1021,,,,
898,,,,
877,,,,
801,,,,
775,,,,
719,,,,
675,,,,
628,,,,
582,,,,
565,,,,
566,,,,
489,,,,
467,,,,
416,,,,
458,,,,
393,,,,
375,,,,
363,,,,
342,,,,
323,,,,
292,,,,
272,,,,
287,,,,
246,,,,
235,,,,
237,,,,
227,,,,
209,,,,
231,,,,
234,,,,
180,,,,
180,,,,
205,,,,
211,,,,
164,,,,
158,,,,
155,,,,
160,,,,
148,,,,
147,,,,
121,,,,
121,,,,
123,,,,
119,,,,
113,,,,
102,,,,
97,,,,
112,,,,
115,,,,
110,,,,
111,,,,
91,,,,
82,,,,
95,,,,
86,,,,
83,,,,
81,,,,
72,,,,
81,,,,
76,,,,
61,,,,
54,,,,
64,,,,
73,,,,
56,,,,
59,,,,
55,,,,
60,,,,
48,,,,
69,,,,
59,,,,
57,,,,
48,,,,
50,,,,
48,,,,
47,,,,
44,,,,
48,,,,
45,,,,
36,,,,
50,,,,
40,,,,
34,,,,
26,,,,
39,,,,
39,,,,
32,,,,
29,,,,
31,,,,
26,,,,
24,,,,
32,,,,
29,,,,
33,,,,
21,,,,
26,,,,
28,,,,
26,,,,
21,,,,
14,,,,
19,,,,
16,,,,
20,,,,
17,,,,
22,,,,
17,,,,
10,,,,
12,,,,
11,,,,
18,,,,
15,,,,
6,,,,
11,,,,
10,,,,
8,,,,
14,,,,
5,,,,
6,,,,
6,,,,
7,,,,
5,,,,
10,,,,
10,,,,
5,,,,
5,,,,
5,,,,
6,,,,
2,,,,
6,,,,
5,,,,
1,,,,
3,,,,
5,,,,
2,,,,
5,,,,
0,,,,
5,,,,
1,,,,
3,,,,
3,,,,
3,,,,
4,,,,
4,,,,
3,,,,
1,,,,
2,,,,
3,,,,
2,,,,
2,,,,
0,,,,
1,,,,
1,,,,
2,,,,
0,,,,
0,,,,
2,,,,
3,,,,
1,,,,
2,,,,
0,,,,
0,,,,
5,,,,
0,,,,
0,,,,
0,,,,
3,,,,
3,,,,
1,,,,
2,,,,
1,,,,
1,,,,
4,,,,
2,,,,
0,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
