684,,,AVERAGE,STDEV
414,,,392.0625,703.4904378
462,,,,
447,,,,
543,,,,
582,,,,
697,,,,
709,,,,
678,,,,
746,,,,
749,,,,
774,,,,
739,,,,
769,,,,
736,,,,
818,,,,
869,,,,
959,,,,
944,,,,
924,,,,
1029,,,,
964,,,,
972,,,,
986,,,,
1048,,,,
1092,,,,
1038,,,,
1187,,,,
1257,,,,
1339,,,,
1358,,,,
1570,,,,
1827,,,,
1780,,,,
1952,,,,
2118,,,,
2275,,,,
2323,,,,
2410,,,,
2564,,,,
2557,,,,
2513,,,,
2556,,,,
2589,,,,
2585,,,,
2525,,,,
2514,,,,
2423,,,,
2434,,,,
2343,,,,
2326,,,,
2090,,,,
2051,,,,
1995,,,,
1910,,,,
1756,,,,
1555,,,,
1459,,,,
1365,,,,
1171,,,,
977,,,,
918,,,,
833,,,,
762,,,,
661,,,,
646,,,,
556,,,,
492,,,,
426,,,,
382,,,,
401,,,,
320,,,,
295,,,,
254,,,,
222,,,,
177,,,,
185,,,,
168,,,,
132,,,,
137,,,,
105,,,,
113,,,,
136,,,,
101,,,,
86,,,,
97,,,,
79,,,,
83,,,,
79,,,,
68,,,,
64,,,,
73,,,,
56,,,,
65,,,,
68,,,,
66,,,,
66,,,,
64,,,,
67,,,,
69,,,,
48,,,,
50,,,,
67,,,,
57,,,,
46,,,,
45,,,,
33,,,,
39,,,,
28,,,,
40,,,,
44,,,,
36,,,,
32,,,,
33,,,,
33,,,,
23,,,,
35,,,,
15,,,,
21,,,,
26,,,,
25,,,,
16,,,,
11,,,,
28,,,,
17,,,,
23,,,,
22,,,,
18,,,,
10,,,,
19,,,,
6,,,,
14,,,,
20,,,,
13,,,,
17,,,,
20,,,,
12,,,,
10,,,,
21,,,,
11,,,,
11,,,,
15,,,,
17,,,,
7,,,,
18,,,,
17,,,,
17,,,,
13,,,,
17,,,,
9,,,,
10,,,,
13,,,,
6,,,,
13,,,,
11,,,,
5,,,,
13,,,,
10,,,,
17,,,,
17,,,,
5,,,,
8,,,,
14,,,,
12,,,,
6,,,,
7,,,,
12,,,,
11,,,,
9,,,,
9,,,,
4,,,,
11,,,,
6,,,,
5,,,,
6,,,,
12,,,,
9,,,,
9,,,,
4,,,,
2,,,,
2,,,,
3,,,,
5,,,,
4,,,,
5,,,,
4,,,,
3,,,,
3,,,,
9,,,,
5,,,,
4,,,,
4,,,,
6,,,,
4,,,,
3,,,,
3,,,,
7,,,,
4,,,,
1,,,,
2,,,,
1,,,,
4,,,,
6,,,,
6,,,,
3,,,,
5,,,,
7,,,,
4,,,,
10,,,,
6,,,,
11,,,,
6,,,,
13,,,,
5,,,,
9,,,,
9,,,,
4,,,,
6,,,,
3,,,,
6,,,,
1,,,,
3,,,,
5,,,,
2,,,,
8,,,,
2,,,,
1,,,,
7,,,,
6,,,,
7,,,,
5,,,,
6,,,,
3,,,,
4,,,,
0,,,,
4,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
